# Sensor type: Respeck
# Activity type: Lying down on stomach
# Activity code: 8
# Subject id: s1956488
# Notes: 1
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1664721397769,0.03466797,-0.14483643,-0.97491455,1.40625,1.875,0.296875
1664721397857,0.034423828,-0.1428833,-0.9656372,0.671875,1.53125,0.25
1664721397861,0.03930664,-0.1416626,-0.9690552,-0.03125,1.1875,0.15625
1664721397895,0.037597656,-0.14117432,-0.9680786,0.078125,1.21875,0.15625
1664721397926,0.02734375,-0.14117432,-0.9690552,0.078125,0.96875,0.15625
1664721398018,0.036376953,-0.13922119,-0.9661255,-0.125,0.875,0.234375
1664721398021,0.032958984,-0.14117432,-0.9661255,-0.375,0.5625,0.1875
1664721398051,0.038085938,-0.13800049,-0.9680786,-0.1875,0.75,0.1875
1664721398085,0.043701172,-0.14312744,-0.9663696,-0.34375,0.8125,0.359375
1664721398182,0.040771484,-0.14727783,-0.9668579,0.0,0.828125,0.28125
1664721398189,0.04321289,-0.14385986,-0.96710205,-0.234375,0.953125,0.109375
1664721398208,0.041503906,-0.14337158,-0.96759033,-0.625,0.75,0.046875
1664721398297,0.037841797,-0.14630127,-0.96588135,-0.140625,1.125,0.15625
1664721398300,0.037597656,-0.14581299,-0.97125244,-0.046875,1.0,0.203125
1664721398329,0.037353516,-0.14703369,-0.9678345,0.140625,1.03125,0.1875
1664721398363,0.036865234,-0.15289307,-0.97320557,-0.078125,0.84375,0.296875
1664721398464,0.044189453,-0.15216064,-0.9727173,-0.40625,0.921875,0.25
1664721398472,0.043701172,-0.14483643,-0.9612427,-0.265625,0.96875,0.15625
1664721398487,0.038085938,-0.14801025,-0.9614868,0.109375,1.078125,0.25
1664721398521,0.041503906,-0.14459229,-0.9624634,0.4375,1.171875,0.21875
1664721398613,0.038085938,-0.14898682,-0.97247314,0.578125,1.328125,0.1875
1664721398621,0.03857422,-0.15460205,-0.9680786,0.453125,1.21875,0.203125
1664721398645,0.041259766,-0.14459229,-0.9702759,0.53125,1.3125,0.28125
1664721398680,0.038085938,-0.14923096,-0.9631958,0.75,1.59375,0.3125
1664721398771,0.043701172,-0.14141846,-0.96343994,0.921875,1.5625,0.375
1664721398775,0.040039062,-0.14361572,-0.96099854,0.765625,1.4375,0.203125
1664721398802,0.03930664,-0.14337158,-0.9678345,0.21875,1.328125,0.25
1664721398893,0.037841797,-0.14996338,-0.96051025,0.765625,1.578125,0.109375
1664721398897,0.036132812,-0.14019775,-0.9649048,0.84375,1.484375,0.1875
1664721398934,0.033935547,-0.13824463,-0.9690552,0.984375,1.671875,0.21875
1664721398960,0.03491211,-0.14215088,-0.97125244,0.625,1.484375,0.234375
1664721399050,0.03930664,-0.14361572,-0.96661377,0.328125,1.421875,0.15625
1664721399054,0.043945312,-0.13922119,-0.96710205,-0.046875,1.109375,0.234375
1664721399082,0.041503906,-0.1375122,-0.96417236,0.21875,1.109375,0.25
1664721399118,0.036865234,-0.14263916,-0.9702759,0.40625,1.25,0.125
1664721399208,0.033447266,-0.14019775,-0.95880127,0.234375,1.203125,0.265625
1664721399212,0.033203125,-0.13897705,-0.9668579,0.203125,0.96875,0.15625
1664721399240,0.03491211,-0.1416626,-0.9644165,0.234375,0.953125,0.359375
1664721399297,0.036621094,-0.13702393,-0.9690552,0.0625,1.15625,0.25
1664721399330,0.038085938,-0.13580322,-0.9624634,0.421875,1.3125,0.09375
1664721399363,0.036376953,-0.13775635,-0.9524536,-0.1875,0.765625,0.15625
1664721399398,0.036865234,-0.13995361,-0.9697876,0.03125,1.171875,0.140625
1664721399433,0.040771484,-0.13677979,-0.9631958,0.0625,1.203125,0.046875
1664721399527,0.042236328,-0.14141846,-0.96466064,0.375,1.171875,0.296875
1664721399531,0.037109375,-0.13555908,-0.96417236,0.359375,1.3125,0.296875
1664721399555,0.038085938,-0.13702393,-0.97247314,0.484375,1.4375,0.203125
1664721399646,0.03491211,-0.13800049,-0.9714966,0.203125,1.3125,0.328125
1664721399649,0.038085938,-0.13970947,-0.97198486,-0.421875,0.9375,0.21875
1664721399682,0.03881836,-0.13824463,-0.9690552,-0.25,0.9375,0.265625
1664721399714,0.033691406,-0.1416626,-0.9678345,-0.03125,1.15625,0.109375
1664721399808,0.03491211,-0.13653564,-0.9595337,0.015625,1.03125,0.21875
1664721399812,0.0390625,-0.1428833,-0.96832275,0.359375,1.15625,0.234375
1664721399839,0.03466797,-0.13897705,-0.9692993,0.578125,1.546875,0.1875
1664721399869,0.037109375,-0.14190674,-0.97003174,0.234375,1.25,0.328125
1664721399960,0.038085938,-0.1350708,-0.9690552,0.84375,1.421875,0.140625
1664721399964,0.038085938,-0.1404419,-0.96221924,-0.21875,0.765625,0.21875
1664721400020,0.040039062,-0.13653564,-0.9768677,-0.015625,1.265625,0.34375
1664721400047,0.03173828,-0.14141846,-0.9673462,0.234375,1.25,0.21875
1664721400113,0.034423828,-0.14312744,-0.9639282,0.28125,0.90625,0.328125
1664721400116,0.032958984,-0.13775635,-0.9631958,0.34375,1.171875,0.25
1664721400154,0.034423828,-0.13922119,-0.96832275,0.59375,1.25,0.328125
1664721400197,0.032958984,-0.13677979,-0.96466064,-0.109375,1.125,0.34375
1664721400279,0.034179688,-0.13848877,-0.96417236,0.3125,1.1875,0.21875
1664721400282,0.03515625,-0.13336182,-0.96417236,-0.03125,1.109375,0.234375
1664721400324,0.034423828,-0.14019775,-0.9661255,0.359375,1.1875,0.34375
1664721400400,0.041503906,-0.1416626,-0.96881104,0.140625,1.0625,0.28125
1664721400403,0.030517578,-0.13824463,-0.960022,0.328125,1.234375,0.296875
1664721400455,0.036621094,-0.13995361,-0.9651489,0.515625,1.21875,0.28125
1664721400481,0.040039062,-0.13580322,-0.9607544,0.421875,1.28125,0.125
1664721400566,0.03125,-0.13702393,-0.9644165,0.765625,1.28125,0.140625
1664721400569,0.041015625,-0.14019775,-0.9663696,0.421875,1.140625,0.140625
1664721400611,0.02709961,-0.12921143,-0.9678345,-0.140625,1.109375,0.3125
1664721400637,0.03100586,-0.13238525,-0.9636841,0.5,1.171875,0.359375
1664721400725,0.03515625,-0.1362915,-0.96832275,0.3125,0.984375,0.359375
1664721400728,0.036865234,-0.13800049,-0.9627075,0.390625,1.390625,0.375
1664721400779,0.03100586,-0.13482666,-0.97052,0.265625,1.1875,0.078125
1664721400800,0.034423828,-0.14434814,-0.97125244,-0.171875,1.09375,0.203125
1664721400877,0.036376953,-0.13775635,-0.9692993,-0.296875,0.875,0.265625
1664721400880,0.03149414,-0.1428833,-0.9661255,-0.03125,1.171875,0.28125
1664721400908,0.03564453,-0.13897705,-0.97003174,0.0,1.046875,0.265625
1664721400945,0.041503906,-0.13580322,-0.96588135,-0.109375,0.921875,0.265625
1664721401064,0.03466797,-0.13922119,-0.96417236,0.109375,1.125,0.234375
1664721401067,0.035888672,-0.13604736,-0.97003174,-0.140625,0.984375,0.234375
1664721401071,0.033203125,-0.14117432,-0.9578247,0.4375,1.34375,0.125
1664721401161,0.0390625,-0.13848877,-0.9612427,-0.359375,0.78125,0.078125
1664721401164,0.029541016,-0.1375122,-0.9795532,0.03125,1.125,0.15625
1664721401184,0.036132812,-0.13433838,-0.9639282,-0.03125,0.984375,0.125
1664721401239,0.034179688,-0.13433838,-0.96832275,0.53125,1.3125,0.234375
1664721401281,0.03173828,-0.14337158,-0.9685669,0.265625,1.328125,0.234375
1664721401304,0.032958984,-0.1350708,-0.9673462,0.40625,1.34375,0.28125
1664721401343,0.032958984,-0.1362915,-0.96954346,0.328125,1.34375,0.203125
1664721401375,0.036621094,-0.13897705,-0.9678345,0.09375,1.03125,0.234375
1664721401481,0.034423828,-0.13531494,-0.9702759,0.125,1.0,0.21875
1664721401484,0.027832031,-0.13360596,-0.96539307,0.046875,1.15625,0.265625
