# Sensor type: Thingy
# Activity type: Desk work
# Activity code: 31
# Subject id: s1956488
# Notes: 1
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
1664548442832,-0.12402344,-0.16308594,0.98535156,-0.15625,-0.21875,-0.59375,0.0,0.0,0.0
1664548442884,-0.12109375,-0.16308594,0.9941406,-0.34375,0.03125,-0.46875,0.0,0.0,0.0
1664548442943,-0.13476562,-0.17285156,0.9824219,-0.15625,-0.21875,-0.15625,0.0,0.0,0.0
1664548442972,-0.12695312,-0.17578125,0.9736328,-0.40625,-0.28125,0.28125,0.0,0.0,0.0
1664548443000,-0.12597656,-0.17089844,0.98828125,0.15625,-0.09375,0.5625,0.0,0.0,0.0
1664548443059,-0.125,-0.17285156,0.9941406,-0.03125,-0.28125,0.625,0.0,0.0,0.0
1664548443087,-0.11328125,-0.17578125,0.9814453,0.34375,-0.09375,0.5625,0.0,0.0,0.0
1664548443101,-0.125,-0.17480469,0.98046875,0.34375,0.0625,0.5,0.0,0.0,0.0
1664548443119,-0.12597656,-0.16894531,0.9873047,0.46875,0.03125,0.09375,-28.625,-44.5,-67.6875
1664548443170,-0.123046875,-0.16308594,0.9951172,0.28125,0.5,-0.78125,0.0,0.0,0.0
1664548443196,-0.107421875,-0.18066406,0.98828125,-0.03125,0.4375,-1.0,0.0,0.0,0.0
1664548443243,-0.11621094,-0.16503906,0.9902344,0.03125,0.25,-0.65625,0.0,0.0,0.0
1664548443252,-0.12011719,-0.171875,0.97753906,0.15625,-0.28125,-0.21875,0.0,0.0,0.0
1664548443280,-0.123046875,-0.16796875,0.9736328,-0.75,-0.65625,-1.125,0.0,0.0,0.0
1664548443329,-0.1171875,-0.17480469,1.0029297,-0.75,-0.90625,-2.1875,0.0,0.0,0.0
1664548443345,-0.12597656,-0.17578125,1.0,0.21875,0.4375,-2.21875,0.0,0.0,0.0
1664548443361,-0.125,-0.171875,0.9892578,-0.28125,0.125,-2.1875,0.0,0.0,0.0
1664548443444,-0.123046875,-0.16699219,0.99316406,0.53125,-1.15625,-1.125,0.0,0.0,0.0
1664548443446,-0.11425781,-0.15527344,0.984375,0.53125,-0.65625,-0.71875,0.0,0.0,0.0
1664548443478,-0.107421875,-0.15136719,0.98339844,-0.34375,-0.71875,-0.28125,0.0,0.0,0.0
1664548443494,-0.111328125,-0.15820312,0.9785156,-0.28125,-0.09375,-0.15625,-29.6875,-44.5,-68.75
1664548443533,-0.10839844,-0.15917969,0.9873047,-1.5,-0.03125,-0.46875,0.0,0.0,0.0
1664548443554,-0.11621094,-0.16699219,0.9951172,-1.4375,-0.21875,-0.46875,0.0,0.0,0.0
1664548443596,-0.12890625,-0.17382812,0.98339844,-1.96875,0.125,0.09375,0.0,0.0,0.0
1664548443617,-0.125,-0.16992188,0.99121094,-0.75,0.5,1.5625,0.0,0.0,0.0
1664548443656,-0.12207031,-0.1796875,0.9902344,-0.6875,0.1875,2.46875,0.0,0.0,0.0
1664548443698,-0.125,-0.16601562,0.98828125,-0.21875,0.1875,3.3125,0.0,0.0,0.0
1664548443729,-0.119140625,-0.16699219,0.9824219,-0.8125,-0.34375,3.625,0.0,0.0,0.0
1664548443748,-0.125,-0.17480469,0.9794922,-0.75,-0.34375,3.5,0.0,0.0,0.0
1664548443800,-0.12695312,-0.17773438,0.9873047,-0.34375,-0.46875,2.90625,0.0,0.0,0.0
1664548443816,-0.11328125,-0.18066406,0.98535156,-0.6875,-1.09375,2.28125,0.0,0.0,0.0
1664548443846,-0.11035156,-0.171875,0.9902344,0.28125,-0.96875,1.84375,0.0,0.0,0.0
1664548443904,-0.11328125,-0.17089844,0.9814453,-0.28125,-0.90625,1.5625,0.0,0.0,0.0
1664548443937,-0.111328125,-0.171875,0.9873047,-0.5,-0.53125,1.0625,-30.75,-45.5625,-69.5
1664548443971,-0.12402344,-0.17871094,0.9902344,-0.4375,-0.78125,0.4375,0.0,0.0,0.0
1664548444035,-0.119140625,-0.18164062,0.98046875,-0.75,-0.65625,-0.21875,0.0,0.0,0.0
1664548444071,-0.11035156,-0.19628906,0.9873047,0.59375,-0.59375,-0.84375,0.0,0.0,0.0
1664548444096,-0.11425781,-0.18164062,0.9921875,0.65625,-0.40625,-1.3125,0.0,0.0,0.0
1664548444151,-0.1171875,-0.17578125,0.99609375,0.9375,-0.09375,-2.28125,0.0,0.0,0.0
1664548444174,-0.11425781,-0.16699219,0.9902344,0.46875,0.125,-3.15625,0.0,0.0,0.0
1664548444215,-0.111328125,-0.16503906,1.0,0.46875,0.0625,-2.90625,0.0,0.0,0.0
1664548444273,-0.11816406,-0.16503906,0.97558594,-0.09375,-0.40625,-2.28125,0.0,0.0,0.0
1664548444308,-0.11328125,-0.17773438,0.98339844,0.03125,0.0625,-1.75,0.0,0.0,0.0
1664548444332,-0.11816406,-0.17285156,0.98046875,-0.34375,0.125,-1.5,0.0,0.0,0.0
1664548444389,-0.12597656,-0.16601562,0.99902344,-0.34375,0.125,-0.71875,0.0,0.0,0.0
1664548444434,-0.125,-0.16503906,0.96972656,-0.5625,0.0625,0.09375,-28.9375,-44.5,-67.125
1664548444471,-0.11816406,-0.16894531,0.9785156,-0.4375,-0.09375,0.5,0.0,0.0,0.0
1664548444556,-0.11621094,-0.17480469,0.98046875,-0.5625,0.1875,0.5625,0.0,0.0,0.0
1664548444578,-0.11425781,-0.18066406,0.98339844,-0.6875,0.4375,0.4375,0.0,0.0,0.0
1664548444601,-0.115234375,-0.18847656,0.9824219,-0.09375,-0.21875,1.125,0.0,0.0,0.0
1664548444648,-0.111328125,-0.18164062,0.98828125,0.21875,-0.09375,1.4375,0.0,0.0,0.0
1664548444681,-0.12011719,-0.18066406,0.9824219,0.46875,-0.28125,1.1875,0.0,0.0,0.0
1664548444715,-0.11328125,-0.17089844,0.9902344,0.28125,-0.09375,0.75,0.0,0.0,0.0
1664548444758,-0.12011719,-0.16601562,0.98046875,0.09375,0.0625,0.03125,0.0,0.0,0.0
1664548444782,-0.11425781,-0.17089844,0.9941406,-0.03125,0.3125,-0.46875,0.0,0.0,0.0
1664548444806,-0.115234375,-0.18261719,0.9873047,-0.28125,0.3125,-0.9375,0.0,0.0,0.0
1664548444889,-0.119140625,-0.18847656,0.99609375,-0.03125,0.1875,-0.9375,0.0,0.0,0.0
1664548444914,-0.119140625,-0.1796875,0.9794922,0.03125,0.125,-1.0625,0.0,0.0,0.0
1664548444928,-0.115234375,-0.18164062,1.0,0.46875,0.4375,-0.59375,-29.875,-43.625,-66.9375
1664548444991,-0.115234375,-0.18945312,1.0039062,0.40625,0.1875,-0.40625,0.0,0.0,0.0
1664548445018,-0.12402344,-0.17675781,0.9873047,0.53125,0.125,-0.28125,0.0,0.0,0.0
1664548445064,-0.11621094,-0.16601562,0.98339844,0.15625,0.125,-0.34375,0.0,0.0,0.0
1664548445117,-0.123046875,-0.16992188,0.98828125,-0.03125,0.0625,-0.21875,0.0,0.0,0.0
1664548445134,-0.11816406,-0.18164062,0.984375,0.15625,-0.40625,-0.28125,0.0,0.0,0.0
1664548445178,-0.11621094,-0.18457031,0.9902344,0.15625,-0.09375,-0.21875,0.0,0.0,0.0
1664548445229,-0.11816406,-0.17578125,0.9941406,0.21875,-0.21875,-0.03125,0.0,0.0,0.0
1664548445263,-0.11621094,-0.16308594,0.9902344,0.15625,-0.28125,-0.03125,0.0,0.0,0.0
1664548445297,-0.11816406,-0.16308594,0.9941406,0.15625,-0.03125,0.09375,0.0,0.0,0.0
1664548445345,-0.10839844,-0.16796875,0.9892578,0.03125,-0.09375,0.34375,0.0,0.0,0.0
1664548445377,-0.119140625,-0.16992188,0.984375,-0.34375,-0.03125,0.40625,0.0,0.0,0.0
1664548445408,-0.111328125,-0.17773438,0.9873047,-0.28125,-0.21875,0.40625,-28.625,-45.5625,-67.375
