# Sensor type: Thingy
# Activity type: Falling on the left
# Activity code: 45
# Subject id: s1956488
# Notes: 1
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
1664548847423,-0.8359375,0.23144531,0.28320312,-8.375,-7.3125,1.375,0.0,0.0,0.0
1664548847483,-0.96191406,0.24511719,0.24804688,-4.15625,-2.875,7.5625,0.0,0.0,0.0
1664548847484,-0.96972656,0.26757812,0.2734375,-11.25,-7.0,5.84375,-69.0,-35.8125,-88.375
1664548847515,-0.93066406,0.21875,0.28027344,-26.4375,-11.90625,7.96875,0.0,0.0,0.0
1664548847588,-0.89941406,0.20703125,0.50683594,-37.0625,-36.0625,7.96875,0.0,0.0,0.0
1664548847618,-0.7792969,0.20898438,0.74609375,-49.1875,-59.0,8.84375,0.0,0.0,0.0
1664548847671,-0.6796875,0.18261719,0.50097656,-13.5,-69.21875,2.0625,0.0,0.0,0.0
1664548847786,-0.7001953,-0.00390625,-0.26171875,28.5625,-18.78125,9.125,0.0,0.0,0.0
1664548847792,-1.3085938,0.3359375,-0.47753906,46.9375,28.09375,-5.6875,0.0,0.0,0.0
1664548847820,-1.9863281,0.7548828,-0.0029296875,81.40625,46.40625,7.96875,0.0,0.0,0.0
1664548847874,-1.9521484,1.0302734,-0.32128906,76.78125,98.53125,24.71875,0.0,0.0,0.0
1664548847885,-1.6210938,1.8173828,-0.045898438,62.1875,137.21875,50.03125,0.0,0.0,0.0
1664548847911,-0.9404297,0.859375,0.3515625,-11.59375,120.625,102.34375,0.0,0.0,0.0
1664548847996,-1.6972656,-0.5576172,0.7216797,-113.84375,50.90625,74.4375,0.0,0.0,0.0
1664548848022,-1.0292969,-0.20996094,0.8408203,16.09375,-154.71875,-7.15625,0.0,0.0,0.0
1664548848062,-0.4248047,0.30078125,-0.0146484375,-135.125,-34.34375,-17.28125,-66.75,-23.5,-91.875
1664548848105,-0.37109375,0.5371094,0.3310547,-115.1875,-77.6875,-3.375,0.0,0.0,0.0
1664548848132,-0.4892578,0.44726562,-0.28320312,49.1875,-109.96875,24.875,0.0,0.0,0.0
1664548848186,-0.31933594,0.49023438,0.203125,15.0625,-74.34375,37.65625,0.0,0.0,0.0
1664548848248,-0.33007812,0.78222656,0.33984375,-70.625,8.4375,60.65625,0.0,0.0,0.0
1664548848282,-0.50097656,0.7285156,0.068359375,-66.09375,57.375,73.46875,0.0,0.0,0.0
1664548848294,-0.5253906,0.36621094,0.02734375,-46.75,94.1875,85.5,0.0,0.0,0.0
1664548848349,-0.61328125,0.49804688,0.015625,-84.25,183.59375,71.53125,0.0,0.0,0.0
1664548848367,-0.625,0.5878906,-0.049804688,-71.28125,198.90625,60.34375,0.0,0.0,0.0
1664548848391,-0.5673828,0.5722656,-0.08105469,-99.5625,217.90625,56.3125,0.0,0.0,0.0
1664548848428,-0.6660156,0.45898438,-0.33007812,-122.25,237.0625,41.78125,0.0,0.0,0.0
1664548848476,-0.94140625,0.5810547,-0.0029296875,-124.75,220.71875,19.5625,0.0,0.0,0.0
1664548848512,-1.5019531,0.43945312,0.38378906,-158.9375,184.875,-26.9375,-75.4375,-28.625,-100.875
1664548848578,-1.0800781,0.23144531,-0.04296875,-128.71875,190.0,-101.46875,0.0,0.0,0.0
1664548848611,-0.5908203,0.8232422,0.12988281,-82.84375,107.5625,-70.5,0.0,0.0,0.0
1664548848635,-0.8300781,0.25,-0.16699219,-60.0,58.46875,-7.40625,0.0,0.0,0.0
1664548848739,-0.9433594,0.19824219,-0.015625,-7.21875,27.59375,-14.0625,0.0,0.0,0.0
1664548848768,-1.0224609,0.15429688,-0.0625,-30.84375,43.78125,-21.875,0.0,0.0,0.0
1664548848832,-1.0439453,0.43164062,0.0029296875,-32.21875,36.03125,-18.5,0.0,0.0,0.0
1664548848881,-1.0898438,0.42773438,0.001953125,-70.0,25.6875,-18.4375,0.0,0.0,0.0
1664548848925,-0.9277344,0.45507812,-0.048828125,-87.78125,24.125,-27.25,0.0,0.0,0.0
1664548848942,-0.8574219,0.47753906,-0.0625,-98.46875,33.625,-37.1875,0.0,0.0,0.0
1664548848987,-0.86328125,0.42578125,0.04296875,-75.5625,28.5,-12.65625,0.0,0.0,0.0
1664548849012,-0.9404297,0.15332031,0.025390625,-56.84375,18.8125,4.875,0.0,0.0,0.0
