# Sensor type: Thingy
# Activity type: Falling on the right
# Activity code: 46
# Subject id: s1956488
# Notes: 1
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
1664548966755,-0.8173828,0.40429688,0.43652344,-12.28125,27.46875,33.1875,0.0,0.0,0.0
1664548966830,-0.8125,0.43652344,0.46484375,-13.6875,22.09375,27.9375,0.0,0.0,0.0
1664548966879,-0.79296875,0.43945312,0.44628906,-6.0,5.875,24.28125,0.0,0.0,0.0
1664548966908,-0.73046875,0.4638672,0.421875,4.9375,-7.4375,18.0,0.0,0.0,0.0
1664548966929,-0.7519531,0.4501953,0.48242188,-11.40625,6.90625,9.4375,0.0,0.0,0.0
1664548966993,-0.7109375,0.4248047,0.44726562,-7.75,5.9375,-0.1875,0.0,0.0,0.0
1664548967019,-0.71191406,0.42578125,0.43164062,-6.78125,-0.0625,-9.34375,0.0,0.0,0.0
1664548967061,-0.6542969,0.4404297,0.4326172,-7.5625,2.5625,-19.375,-72.125,-30.5625,-87.375
1664548967109,-0.70703125,0.4375,0.49121094,-3.0,4.875,-26.0625,0.0,0.0,0.0
1664548967144,-0.71191406,0.4814453,0.4560547,-2.625,2.15625,-35.46875,0.0,0.0,0.0
1664548967162,-0.73046875,0.51953125,0.4267578,4.375,14.84375,-45.0625,0.0,0.0,0.0
1664548967206,-0.8203125,0.6933594,0.5449219,7.6875,24.78125,-46.40625,0.0,0.0,0.0
1664548967233,-1.4921875,0.83691406,0.7363281,26.0625,-24.28125,-22.53125,0.0,0.0,0.0
1664548967278,-0.29589844,0.16699219,-0.2626953,-0.375,51.40625,-27.59375,0.0,0.0,0.0
1664548967349,-1.1425781,0.11328125,0.08203125,47.0,31.75,20.75,0.0,0.0,0.0
1664548967398,-1.1992188,-0.064453125,0.20507812,36.75,27.0,-37.625,0.0,0.0,0.0
1664548967453,-0.8642578,0.35253906,0.3544922,50.65625,38.9375,-53.65625,0.0,0.0,0.0
1664548967508,-0.9355469,0.57421875,0.043945312,-8.5,38.65625,-27.78125,0.0,0.0,0.0
1664548967534,-1.0722656,0.22558594,0.15625,-13.3125,31.4375,-34.3125,0.0,0.0,0.0
1664548967554,-0.99121094,0.13085938,0.16210938,-31.3125,48.09375,-57.8125,0.0,0.0,0.0
1664548967632,-1.0771484,-0.083984375,0.19433594,-11.0,41.75,-49.15625,-78.875,-40.4375,-95.125
1664548967648,-1.1904297,0.2861328,0.16894531,-13.3125,28.625,-42.96875,0.0,0.0,0.0
1664548967659,-1.5986328,0.15332031,0.2109375,-30.40625,9.71875,-32.90625,0.0,0.0,0.0
1664548967717,-1.3398438,0.29101562,0.2861328,-17.53125,-38.125,-61.96875,0.0,0.0,0.0
1664548967757,-1.1123047,-0.040039062,0.09375,-41.625,-11.03125,-65.1875,0.0,0.0,0.0
1664548967776,-0.8935547,0.15527344,-0.06347656,-23.25,-17.5,-47.9375,0.0,0.0,0.0
1664548967823,-0.5185547,0.2861328,0.13964844,-6.15625,-44.3125,-14.84375,0.0,0.0,0.0
1664548967846,-0.11621094,0.099609375,0.053710938,-28.15625,-63.78125,11.8125,0.0,0.0,0.0
1664548967858,-0.22460938,0.055664062,-0.20996094,5.25,-19.09375,25.25,0.0,0.0,0.0
1664548967915,-0.43945312,-0.06347656,-0.055664062,28.3125,45.90625,35.1875,0.0,0.0,0.0
1664548967953,-1.6025391,0.2998047,0.001953125,56.28125,16.0625,45.875,0.0,0.0,0.0
1664548967976,-1.9863281,0.14746094,-0.11621094,3.71875,5.6875,-17.28125,0.0,0.0,0.0
1664548968039,-1.9863281,0.28027344,0.08105469,1.15625,94.84375,7.0,-79.5,-48.125,-92.3125
1664548968068,-1.9716797,0.28125,-0.11035156,-22.46875,136.40625,-11.90625,0.0,0.0,0.0
1664548968079,-1.3017578,0.63964844,0.28125,-31.75,133.5625,91.71875,0.0,0.0,0.0
1664548968120,-1.3486328,-0.3779297,0.49414062,-81.5,0.25,96.78125,0.0,0.0,0.0
1664548968150,-0.9609375,-0.42578125,0.82421875,123.46875,-158.5625,32.34375,0.0,0.0,0.0
1664548968176,-0.56152344,-0.32226562,0.23535156,-36.5,-95.4375,-3.125,0.0,0.0,0.0
1664548968251,-0.6796875,-0.265625,-0.05078125,-47.125,-185.59375,7.0,0.0,0.0,0.0
1664548968266,-1.0205078,0.26367188,0.12695312,105.28125,-129.21875,2.84375,0.0,0.0,0.0
1664548968303,-0.9121094,0.19726562,0.29492188,112.1875,-131.65625,-53.53125,0.0,0.0,0.0
1664548968367,-0.921875,0.083984375,-0.036132812,42.09375,-96.125,-88.9375,0.0,0.0,0.0
1664548968416,-0.9658203,0.5185547,0.20019531,116.09375,-92.15625,-84.375,0.0,0.0,0.0
1664548968431,-0.7548828,0.18359375,0.30566406,117.375,-85.875,-74.65625,0.0,0.0,0.0
1664548968489,-0.484375,0.20507812,0.22753906,106.6875,-26.375,-54.03125,0.0,0.0,0.0
1664548968522,-0.49023438,0.11621094,0.005859375,103.75,3.5,-38.46875,-68.125,-39.5625,-76.6875
1664548968580,-0.22949219,0.12890625,0.18066406,108.28125,45.46875,-45.125,0.0,0.0,0.0
1664548968637,0.009765625,-0.0107421875,0.068359375,145.375,133.96875,-30.65625,0.0,0.0,0.0
1664548968665,-0.703125,-0.37304688,-0.20703125,130.65625,216.8125,-5.4375,0.0,0.0,0.0
1664548968701,-1.8164062,1.0703125,0.49804688,157.03125,0.875,44.96875,0.0,0.0,0.0
1664548968760,-0.6513672,1.0166016,-0.32617188,33.6875,62.75,28.78125,0.0,0.0,0.0
1664548968794,-1.5058594,-0.4794922,-0.15722656,3.78125,68.5,-19.5,0.0,0.0,0.0
1664548968810,-1.0800781,0.8876953,-0.14160156,83.0625,-7.1875,20.125,0.0,0.0,0.0
1664548968873,-0.88964844,0.26757812,-0.140625,41.5,39.1875,31.71875,0.0,0.0,0.0
1664548968929,-1.0839844,0.33691406,-0.033203125,45.21875,-14.40625,31.90625,0.0,0.0,0.0
1664548968962,-0.88378906,0.38671875,0.296875,56.21875,-6.09375,-6.1875,0.0,0.0,0.0
1664548969026,-1.0205078,0.19726562,0.3486328,31.375,-0.84375,-2.9375,0.0,0.0,0.0
1664548969069,-1.1308594,-0.0078125,0.056640625,46.9375,-10.0625,-1.0625,-78.75,-23.375,-104.3125
1664548969121,-1.0146484,-0.024414062,0.0146484375,105.59375,-25.09375,-3.96875,0.0,0.0,0.0
1664548969161,-0.91308594,0.16210938,0.024414062,89.53125,-10.4375,21.40625,0.0,0.0,0.0
1664548969196,-1.140625,0.38671875,-0.20703125,76.03125,-29.28125,26.09375,0.0,0.0,0.0
1664548969220,-0.95703125,0.37597656,-0.359375,116.625,-36.96875,-10.5625,0.0,0.0,0.0
1664548969255,-0.9511719,0.5019531,-0.4169922,116.09375,-53.40625,-10.6875,0.0,0.0,0.0
1664548969301,-0.76464844,0.64941406,-0.21386719,74.40625,-77.3125,0.03125,0.0,0.0,0.0
1664548969332,-0.75390625,0.41210938,-0.3076172,17.09375,-87.46875,7.8125,0.0,0.0,0.0
1664548969416,-0.8173828,0.46972656,-0.0546875,17.03125,-98.0625,-0.875,0.0,0.0,0.0
1664548969448,-0.90527344,0.35058594,0.005859375,-11.0,-106.75,-15.21875,0.0,0.0,0.0
1664548969482,-0.6826172,0.07910156,0.044921875,-11.71875,-105.09375,-22.59375,0.0,0.0,0.0
1664548969537,-0.55371094,0.057617188,0.31152344,-8.5625,-82.5625,-16.6875,0.0,0.0,0.0
1664548969577,-0.8105469,0.3232422,0.60253906,8.46875,-78.0625,-27.59375,0.0,0.0,0.0
1664548969610,-1.1162109,0.56933594,0.74121094,-45.78125,-90.09375,-54.15625,-71.5625,-23.0625,-91.25
1664548969674,-0.47265625,0.038085938,0.5595703,-44.75,-86.59375,-37.75,0.0,0.0,0.0
1664548969687,-0.86816406,0.16601562,0.70410156,-15.25,-78.78125,-57.21875,0.0,0.0,0.0
1664548969709,-0.4951172,0.2265625,0.6660156,-7.5625,-42.90625,-66.25,0.0,0.0,0.0
1664548969762,-0.6660156,0.21777344,0.7529297,-10.0625,-61.21875,-49.5,0.0,0.0,0.0
1664548969804,-0.5048828,0.22753906,0.4609375,-10.125,-42.0,-61.21875,0.0,0.0,0.0
1664548969853,-0.5732422,0.22460938,0.6826172,6.21875,-35.9375,-33.28125,0.0,0.0,0.0
1664548969904,-0.62402344,0.16796875,0.6035156,8.84375,-41.875,-36.03125,0.0,0.0,0.0
