# Sensor type: Thingy
# Activity type: Sitting bent backward
# Activity code: 5
# Subject id: s1956488
# Notes: 1
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
1664547904789,-0.13183594,-0.2939453,0.9892578,0.5625,0.15625,-0.8125,0.0,0.0,0.0
1664547904843,-0.11328125,-0.2685547,0.9667969,0.6875,0.90625,-1.46875,0.0,0.0,0.0
1664547904875,-0.1171875,-0.27929688,0.9482422,0.4375,2.25,-1.1875,0.0,0.0,0.0
1664547904909,-0.13183594,-0.28320312,0.97558594,0.5625,3.34375,-1.78125,0.0,0.0,0.0
1664547904929,-0.14355469,-0.2705078,0.96777344,1.96875,2.84375,-2.9375,-27.3125,-50.8125,-68.125
1664547904990,-0.13574219,-0.27148438,0.9824219,2.9375,1.375,-4.03125,0.0,0.0,0.0
1664547905027,-0.12988281,-0.2548828,0.98339844,3.0,1.0625,-3.8125,0.0,0.0,0.0
1664547905066,-0.14453125,-0.21972656,0.9707031,2.03125,1.6875,-3.25,0.0,0.0,0.0
1664547905130,-0.15625,-0.21582031,0.98046875,0.0,2.40625,-3.84375,0.0,0.0,0.0
1664547905162,-0.140625,-0.21679688,0.98046875,-3.65625,2.71875,-4.21875,0.0,0.0,0.0
1664547905184,-0.14257812,-0.24316406,0.9970703,-6.21875,1.1875,-3.125,0.0,0.0,0.0
1664547905247,-0.17675781,-0.2529297,0.8847656,9.53125,-9.3125,-4.71875,0.0,0.0,0.0
1664547905263,-0.040039062,-0.22753906,1.0253906,32.90625,-33.84375,-6.84375,0.0,0.0,0.0
1664547905296,-0.11230469,-0.31152344,1.0507812,-18.375,4.5,9.3125,0.0,0.0,0.0
1664547905348,-0.12792969,-0.28125,0.95703125,-3.0,5.96875,4.8125,0.0,0.0,0.0
1664547905404,-0.115234375,-0.25585938,0.9482422,9.84375,-7.34375,0.96875,0.0,0.0,0.0
1664547905453,-0.09082031,-0.24023438,1.0058594,9.28125,-6.96875,0.59375,0.0,0.0,0.0
1664547905489,-0.119140625,-0.234375,0.9921875,0.625,0.21875,1.6875,-25.375,-49.625,-65.125
1664547905508,-0.115234375,-0.23242188,0.96484375,0.96875,-0.9375,2.3125,0.0,0.0,0.0
1664547905533,-0.10253906,-0.23828125,0.9814453,5.5,-4.0625,1.75,0.0,0.0,0.0
1664547905590,-0.09765625,-0.22949219,0.9941406,1.53125,-1.5625,1.5625,0.0,0.0,0.0
1664547905617,-0.10058594,-0.23730469,0.9814453,-1.15625,1.03125,0.40625,0.0,0.0,0.0
1664547905650,-0.09375,-0.23242188,0.96875,0.5,-0.03125,-0.3125,0.0,0.0,0.0
1664547905709,-0.10253906,-0.24316406,0.9921875,-0.46875,0.21875,-0.3125,0.0,0.0,0.0
1664547905739,-0.10253906,-0.23925781,0.98339844,-0.71875,0.65625,-0.375,0.0,0.0,0.0
1664547905773,-0.09863281,-0.25097656,0.9746094,0.3125,-0.09375,-0.125,0.0,0.0,0.0
1664547905833,-0.103515625,-0.234375,0.9765625,0.375,-0.3125,-0.4375,0.0,0.0,0.0
1664547905865,-0.10839844,-0.23925781,0.98339844,0.96875,-0.21875,-0.8125,0.0,0.0,0.0
1664547905904,-0.099609375,-0.24414062,0.98828125,0.875,0.21875,-0.6875,0.0,0.0,0.0
1664547905958,-0.11035156,-0.23828125,0.98535156,1.03125,0.15625,-0.6875,-25.8125,-49.1875,-66.375
1664547905978,-0.10644531,-0.22949219,0.98535156,1.21875,0.21875,-0.9375,0.0,0.0,0.0
1664547906043,-0.10839844,-0.23242188,0.98339844,0.96875,0.15625,-1.25,0.0,0.0,0.0
1664547906066,-0.10546875,-0.23730469,0.99121094,0.96875,0.03125,-1.1875,0.0,0.0,0.0
1664547906095,-0.10546875,-0.23535156,0.99121094,1.15625,0.03125,-1.25,0.0,0.0,0.0
1664547906144,-0.09765625,-0.22949219,0.98828125,0.8125,0.40625,-1.125,0.0,0.0,0.0
1664547906188,-0.09667969,-0.22460938,0.9814453,0.625,0.40625,-0.875,0.0,0.0,0.0
1664547906220,-0.09863281,-0.22167969,1.0,0.8125,0.09375,-0.875,0.0,0.0,0.0
1664547906259,-0.10644531,-0.21972656,0.9863281,0.375,0.03125,-0.625,0.0,0.0,0.0
1664547906326,-0.109375,-0.22363281,0.984375,0.1875,0.21875,-0.5,0.0,0.0,0.0
1664547906341,-0.10253906,-0.23339844,0.98828125,0.25,0.09375,-0.4375,0.0,0.0,0.0
1664547906379,-0.103515625,-0.22167969,0.9873047,0.125,0.03125,-0.125,0.0,0.0,0.0
1664547906426,-0.10839844,-0.23242188,0.98535156,0.0625,-0.25,-0.0625,0.0,0.0,0.0
